Date,Open,High,Low,Close,Adj Close,Volume
2014-07-17,614.44,621.98,595.47,613.12,613.12,988178
2014-07-18,609.6,615.28,599.04,608.44,608.44,241456
2014-07-19,620.28,636.9,613.61,624.02,624.02,213690
2014-07-20,667.5,672.5,647.79,672.83,672.83,447642
2014-07-21,663.18,661.1,653.48,654.76,654.76,977328
2014-07-22,653.6,660.03,642.49,659.29,659.29,114174
2014-07-23,701.53,698.07,697.13,703.33,703.33,755270
2014-07-24,716.34,741.41,716.24,718.53,718.53,206471
2014-07-25,703.5,727.94,689.8,703.14,703.14,585947
2014-07-26,718.64,732.12,706.9,722.9,722.9,956294
2014-07-27,709.0,726.35,703.34,702.14,702.14,771064
2014-07-28,703.1,705.5,690.36,688.75,688.75,96343
2014-07-29,710.24,719.82,694.32,697.39,697.39,416334
2014-07-30,652.62,669.96,654.14,648.01,648.01,184097
2014-07-31,612.11,628.38,606.6,611.1,611.1,909885
2014-08-01,600.55,605.09,594.18,604.18,604.18,60938
2014-08-02,571.66,588.14,570.32,570.08,570.08,6149
2014-08-03,578.5,587.01,568.29,589.97,589.97,563367
2014-08-04,567.35,578.74,557.33,569.72,569.72,658844
2014-08-05,532.85,532.01,528.55,538.92,538.92,973978
2014-08-06,569.58,574.36,555.61,569.86,569.86,484943
2014-08-07,557.71,570.59,544.99,557.24,557.24,376460
2014-08-08,563.77,573.08,557.42,554.29,554.29,311745
2014-08-09,527.86,532.72,529.56,531.9,531.9,515681
2014-08-10,517.31,534.42,514.23,520.7,520.7,774253
2014-08-11,522.64,525.36,510.8,528.0,528.0,831241
2014-08-12,497.6,508.74,491.16,506.84,506.84,152863
2014-08-13,504.0,510.76,494.94,507.5,507.5,725703
2014-08-14,493.37,500.29,481.45,493.42,493.42,158720
2014-08-15,485.81,498.41,478.71,485.75,485.75,425306
2014-08-16,481.05,485.08,470.41,471.97,471.97,353780
2014-08-17,516.26,518.83,508.7,516.49,516.49,655654
2014-08-18,512.29,519.13,515.86,517.34,517.34,228557
2014-08-19,492.23,501.7,480.85,500.31,500.31,102477
2014-08-20,508.39,524.11,506.57,512.53,512.53,18857
2014-08-21,489.53,501.59,486.2,494.53,494.53,912737
2014-08-22,488.92,494.17,483.06,494.82,494.82,194399
2014-08-23,458.44,461.5,452.23,460.78,460.78,768876
2014-08-24,428.72,434.17,425.26,428.3,428.3,225458
2014-08-25,434.45,436.86,428.95,441.3,441.3,774386
2014-08-26,453.61,459.03,444.07,452.46,452.46,175039
2014-08-27,455.53,461.75,442.17,449.06,449.06,841141
2014-08-28,447.96,454.03,448.23,447.61,447.61,986452
2014-08-29,449.63,449.9,440.75,452.48,452.48,180933
2014-08-30,421.39,421.75,414.65,415.53,415.53,642127
2014-08-31,412.65,420.08,401.65,409.35,409.35,725078
2014-09-01,403.46,414.43,393.18,400.4,400.4,124307
2014-09-02,421.91,422.09,415.4,422.46,422.46,123850
2014-09-03,430.75,429.5,418.27,430.88,430.88,21948
2014-09-04,395.68,408.18,396.02,396.15,396.15,296926
2014-09-05,404.33,414.54,392.04,402.44,402.44,707116
2014-09-06,397.16,402.48,392.91,403.23,403.23,870221
2014-09-07,383.6,387.76,378.7,390.47,390.47,630505
2014-09-08,393.22,397.55,396.84,401.81,401.81,757391
2014-09-09,410.97,421.26,411.58,413.37,413.37,200460
2014-09-10,431.47,435.26,423.9,426.76,426.76,478744
2014-09-11,416.88,416.68,405.35,415.22,415.22,985313
2014-09-12,411.97,418.73,405.02,414.2,414.2,139721
2014-09-13,413.45,417.5,405.71,412.46,412.46,685362
2014-09-14,434.04,444.57,428.01,431.32,431.32,560011
2014-09-15,430.03,430.33,420.13,420.61,420.61,75314
2014-09-16,422.72,424.1,422.07,422.73,422.73,877744
2014-09-17,406.59,412.74,395.81,409.56,409.56,202157
2014-09-18,389.1,391.55,384.07,381.42,381.42,213471
2014-09-19,402.31,411.73,389.24,402.14,402.14,799241
2014-09-20,422.84,429.58,411.13,428.16,428.16,976673
2014-09-21,424.82,425.28,409.86,418.47,418.47,664662
2014-09-22,438.47,448.78,432.57,441.98,441.98,271244
2014-09-23,449.66,449.82,437.12,452.55,452.55,724807
2014-09-24,432.91,446.97,425.01,441.2,441.2,340771
2014-09-25,439.92,446.83,440.12,438.35,438.35,599923
2014-09-26,466.07,478.03,461.79,464.63,464.63,318164
2014-09-27,472.75,470.69,469.49,465.02,465.02,530951
2014-09-28,499.9,507.13,493.25,503.76,503.76,882872
2014-09-29,448.83,462.54,449.18,454.33,454.33,488043
2014-09-30,464.23,478.01,464.17,469.17,469.17,701009
2014-10-01,472.5,471.89,463.6,466.43,466.43,834568
2014-10-02,466.63,466.67,457.52,458.94,458.94,771602
2014-10-03,466.11,477.02,456.9,466.74,466.74,781143
2014-10-04,431.37,442.38,429.41,430.16,430.16,894034
2014-10-05,426.73,428.17,420.49,429.88,429.88,561392
2014-10-06,432.49,439.29,431.06,432.67,432.67,564425
2014-10-07,464.02,464.86,452.27,457.97,457.97,396750
2014-10-08,447.74,462.9,442.49,448.32,448.32,855194
2014-10-09,436.4,438.2,429.81,433.33,433.33,446661
2014-10-10,427.43,431.48,419.27,425.75,425.75,665945
2014-10-11,445.1,455.16,440.63,439.7,439.7,487163
2014-10-12,450.98,452.06,441.01,449.29,449.29,754830
2014-10-13,442.42,448.79,436.51,436.11,436.11,339582
2014-10-14,448.54,457.78,445.23,447.54,447.54,37392
2014-10-15,454.03,458.47,445.09,457.27,457.27,871699
2014-10-16,469.79,477.81,471.96,469.75,469.75,215396
2014-10-17,456.61,466.82,450.5,461.83,461.83,163198
2014-10-18,449.94,456.09,445.47,456.85,456.85,305629
2014-10-19,449.54,454.86,443.03,448.28,448.28,505121
2014-10-20,421.48,432.3,421.01,427.91,427.91,767767
2014-10-21,428.55,437.22,426.3,421.33,421.33,308942
2014-10-22,434.27,434.3,420.33,435.4,435.4,724670
2014-10-23,434.29,434.67,423.79,438.69,438.69,141089
2014-10-24,428.78,432.49,427.4,433.7,433.7,682060
2014-10-25,404.84,410.14,401.4,401.7,401.7,878112
2014-10-26,398.31,404.19,392.2,397.22,397.22,96446
2014-10-27,395.28,402.21,384.29,390.3,390.3,502670
2014-10-28,381.99,382.68,381.53,383.19,383.19,955011
2014-10-29,382.53,380.27,377.18,382.3,382.3,179751
2014-10-30,389.27,390.92,376.06,384.26,384.26,224293
2014-10-31,414.24,425.71,416.87,417.48,417.48,90938
2014-11-01,417.19,422.69,417.71,422.65,422.65,38232
2014-11-02,426.05,433.12,412.71,423.94,423.94,751959
2014-11-03,422.33,427.32,416.21,428.52,428.52,483877
2014-11-04,389.22,403.45,389.92,396.2,396.2,418236
2014-11-05,395.95,403.46,392.11,387.77,387.77,884671
2014-11-06,392.01,397.68,393.83,395.6,395.6,58172
2014-11-07,439.06,438.33,432.13,431.87,431.87,360449
2014-11-08,434.22,437.67,420.9,433.08,433.08,145818
2014-11-09,440.23,441.09,432.47,443.93,443.93,254048
2014-11-10,435.06,446.5,428.22,442.65,442.65,982041
2014-11-11,415.8,428.38,406.5,416.82,416.82,529382
2014-11-12,438.11,446.76,432.56,435.18,435.18,69466
2014-11-13,448.69,462.82,449.06,448.06,448.06,886499
2014-11-14,464.73,472.1,459.31,467.0,467.0,293899
2014-11-15,448.63,452.35,437.98,445.03,445.03,227713
2014-11-16,473.36,487.16,465.11,477.31,477.31,143624
2014-11-17,448.32,455.86,450.09,444.23,444.23,495970
2014-11-18,464.73,471.37,452.46,459.62,459.62,191563
2014-11-19,501.42,508.87,496.12,500.53,500.53,938283
2014-11-20,480.98,486.74,472.34,492.42,492.42,292144
2014-11-21,476.29,489.21,473.31,478.3,478.3,741999
2014-11-22,481.88,479.58,469.69,475.19,475.19,972457
2014-11-23,466.62,482.08,455.84,462.48,462.48,58564
2014-11-24,437.03,453.3,434.97,440.61,440.61,670462
2014-11-25,442.58,452.48,435.56,438.15,438.15,133933
2014-11-26,427.35,432.29,423.01,424.37,424.37,306718
2014-11-27,434.81,439.85,428.75,436.71,436.71,164754
2014-11-28,418.1,427.92,413.02,418.53,418.53,604107
2014-11-29,442.47,447.97,431.52,445.89,445.89,354277
2014-11-30,431.12,436.8,427.1,431.29,431.29,246869
2014-12-01,422.11,433.49,419.7,431.04,431.04,603260
2014-12-02,441.59,445.44,431.15,445.71,445.71,908669
2014-12-03,421.1,424.59,417.17,419.37,419.37,881392
2014-12-04,427.32,427.57,417.2,420.91,420.91,721545
